artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
Tim Darcy,Saturday Night,Still Waking Up,6ynd1GTMId8kyS8jQuvbeK,0.497,0.738,4,-4.098,1,0.0435,0.000931,0.125,0.758,126.652,144653,4,0RDwaqUYzlpmWPB5g4pSOb,35.0,20.0
Voxtrot,"Berlin, Without Return...","Berlin, Without Return...",7AdPPBFoqVzNwHYEBIQDH0,0.668,0.531,1,-10.781,0,0.0515,0.00487,0.102,0.33,129.492,275182,4,7b697TI9p2abLzSo3eJTKW,42.0,47.0
KERA,Vitamin T,Vitamin T,60pNex83TSOAjoYxkhW4QE,0.505,0.42,6,-9.723,1,0.0433,1.18e-05,0.124,0.712,105.023,189195,4,0ZLjlul3kXdLihVJqJn0PR,50.0,34.0
Strawberry Mountain,Harsh Augmented Reality,Harsh Augmented Reality,1VsVY1ySdH3nVSWnLT5vCf,0.562,0.878,11,-4.341,1,0.0305,0.0815,0.0901,0.679,145.975,242096,4,6v69fIFhI2VqebXUWcvWU1,48.0,35.0
NNAMDÏ,Bootie Noir,ART SCHOOL CRUSH,0xG4gdBtTlO6qHKPasdvZy,0.339,0.481,9,-12.972,1,0.0444,0.00952,0.302,0.814,124.89,203910,4,6gACF5PEinqx3AzMLjiH90,45.0,39.0
Teenage Cool Kids,Denton After Sunset,Landlocked State,0UEukOdvxTzs4RtiQwDBr4,0.505,0.537,9,-7.448,1,0.0326,9.32e-06,0.125,0.585,114.683,172104,4,5aNLw2ucGnQWnEpqYqxaAk,38.0,25.0
Bartees Strange,Lady Luck,Lady Luck,3FuuTusOlyjDt3prN4D6ev,0.454,0.464,9,-8.274,1,0.0363,1.99e-05,0.1,0.61,185.673,300936,4,6Gl4Q3ePw6HKMfIOix5QpG,37.0,42.0
Pinc Louds,Delancey St. Station,Scrambled Inside,0uHl5YfXmJc9FcIyz6oGVl,0.366,0.776,0,-5.198,1,0.0549,0.0118,0.311,0.409,141.58,337667,4,5G4Nw3oz2lzx4gneIDs3YX,46.0,40.0
Pregnant,She Noticed,She Noticed,4H0U5Uceg2WMhMhJxnhj1C,0.655,0.978,5,-8.493,0,0.0431,0.0329,0.08,0.927,146.01,181500,4,4LkFDNJcZpdCU8AvZ68DNO,26.0,13.0
Future Crib,Friends,Astronaut,2N9Mt1z4ZINZsP7K4y2Qbu,0.48,0.327,6,-12.123,1,0.06,0,0.0816,0.609,153.324,186253,3,2QeQIlUXOsBbZGniOCJweR,41.0,29.0
