playlist_date,artist_variance,genre_variance,track_count,norm_artist_variance,norm_gen_variance,artist_pop,danceability,duration_ms,energy,instrumentalness,liveness,loudness,release_year,speechiness,tempo,track_pop,valence,artist,artist_genre,key,mode,time_signature
2016-04-01,23,13,23,1.0,0.5652173913043478,67.21739130434783,0.5590434782608696,216682.26086956522,0.6183478260869565,0.03672766173913043,0.17648695652173912,-9.436,1985.0434782608695,0.07476521739130434,131.11678260869564,45.608695652173914,0.7131739130434782,Toots & The Maytals,album rock,2,1,4
2016-07-01,60,27,76,0.7894736842105263,0.35526315789473684,65.85526315789474,0.6107763157894737,215709.38157894736,0.6859078947368421,0.023622702763157897,0.19978157894736842,-8.09932894736842,1988.4736842105262,0.05896710526315789,120.30715789473683,40.75,0.7694868421052632,Grateful Dead,album rock,0,1,4
2017-04-01,45,24,48,0.9375,0.5,61.729166666666664,0.6187916666666666,225460.08333333334,0.6344458333333333,0.06804812041666666,0.19263958333333334,-8.9044375,1989.5625,0.06554166666666666,120.77420833333333,31.604166666666668,0.7361875000000001,Fleetwood Mac,album rock,2,1,4
2017-07-01,8,7,9,0.8888888888888888,0.7777777777777778,65.66666666666667,0.565,252589.0,0.7008888888888889,0.07798478888888888,0.1483888888888889,-6.355,2012.5555555555557,0.06208888888888889,107.86644444444444,39.111111111111114,0.5574444444444445,Coldplay,permanent wave,2,1,4
2017-09-01,29,20,45,0.6444444444444445,0.4444444444444444,65.46666666666667,0.5775333333333333,226843.15555555557,0.4302444444444445,0.032775917111111115,0.1591088888888889,-8.923066666666667,2011.2444444444445,0.05134,121.49140000000001,43.22222222222222,0.42304444444444445,Niall Horan,dance pop,1,1,4
2017-11-01,18,13,94,0.19148936170212766,0.13829787234042554,66.07070707070707,0.5623232323232323,217643.55555555556,0.6108686868686869,0.05152825262626262,0.20166969696969697,-7.529696969696969,2012.3030303030303,0.06578484848484849,128.19689898989898,14.404040404040405,0.5272020202020202,Phoenix,alternative dance,0,1,4
2018-01-01,36,24,43,0.8372093023255814,0.5581395348837209,61.97674418604651,0.5793720930232559,238383.81395348837,0.5856511627906976,0.05779245488372093,0.1937767441860465,-7.915139534883721,2016.0,0.05195813953488372,124.39293023255813,32.06976744186046,0.48208604651162795,Glass Animals,dance pop,0,1,4
2018-02-01,17,14,29,0.5862068965517241,0.4827586206896552,56.48275862068966,0.6160689655172413,230847.37931034484,0.6717241379310345,0.04591517068965517,0.19606551724137933,-7.222793103448276,2016.1724137931035,0.06682068965517242,122.63006896551724,25.137931034482758,0.5456551724137931,Wallows,indie pop,0,1,4
2018-03-01,32,20,42,0.7619047619047619,0.47619047619047616,57.976190476190474,0.551952380952381,228436.92857142858,0.6336190476190476,0.02640478404761905,0.27258095238095237,-8.276714285714286,2016.452380952381,0.050878571428571426,121.94566666666667,23.69047619047619,0.5813166666666666,Wallows,indie pop,0,1,4
2018-04-01,16,9,17,0.9411764705882353,0.5294117647058824,59.11764705882353,0.5791176470588235,223904.88235294117,0.7587058823529411,0.039470195294117646,0.2348941176470588,-5.764235294117647,2014.8823529411766,0.043029411764705885,118.71629411764707,24.352941176470587,0.5775294117647058,Vampire Weekend,baroque pop,5,1,4
2018-05-01,3,3,4,0.75,0.75,62.5,0.71225,173276.0,0.5417500000000001,0.0060160000000000005,0.1089,-7.75625,2002.5,0.03985,105.73025000000001,22.0,0.768,The Walters,chicago indie,10,1,4
2018-10-01,30,21,35,0.8571428571428571,0.6,64.31428571428572,0.6308857142857143,233507.88571428572,0.6262000000000001,0.045464404,0.16289142857142858,-7.1901142857142855,2012.2571428571428,0.04595428571428572,119.53437142857142,36.65714285714286,0.5357657142857143,Jack Johnson,neo mellow,0,1,4
2018-11-01,22,17,23,0.9565217391304348,0.7391304347826086,54.17391304347826,0.5757391304347826,236718.13043478262,0.7217391304347827,0.08363373086956521,0.15119130434782607,-5.924304347826087,2013.7826086956522,0.04427391304347826,119.50739130434783,33.391304347826086,0.5453043478260869,BRONCHO,alternative rock,2,1,4
2018-12-01,13,11,18,0.7222222222222222,0.6111111111111112,56.111111111111114,0.6119444444444445,203702.83333333334,0.6314444444444445,0.031780148333333334,0.23333333333333334,-8.3755,2003.611111111111,0.04701111111111111,121.61794444444445,25.333333333333332,0.6873333333333334,Vulfpeck,ann arbor indie,7,1,4
2019-02-01,17,15,22,0.7727272727272727,0.6818181818181818,58.54545454545455,0.5297727272727273,222352.95454545456,0.5845909090909092,0.07023988409090909,0.2347090909090909,-7.609954545454546,2011.0454545454545,0.04503181818181818,126.46672727272727,34.5,0.4894454545454545,Wallows,indie pop,7,1,4
2019-09-01,16,15,21,0.7619047619047619,0.7142857142857143,64.23809523809524,0.6489047619047619,204263.66666666666,0.6256190476190476,0.0410228280952381,0.1723047619047619,-6.874238095238096,2009.904761904762,0.06356666666666666,111.86661904761905,23.571428571428573,0.6779142857142857,Vampire Weekend,baroque pop,2,1,4
2020-01-01,23,17,27,0.8518518518518519,0.6296296296296297,62.81818181818182,0.6021212121212122,209796.42424242425,0.6500606060606061,0.1351902521212121,0.1566151515151515,-7.346424242424242,2017.090909090909,0.04545757575757576,113.86636363636363,26.666666666666668,0.5723939393939393,Cage The Elephant,alternative rock,7,1,4
2020-04-01,35,23,48,0.7291666666666666,0.4791666666666667,64.65306122448979,0.5856122448979592,223502.89795918367,0.6274285714285714,0.07840829653061224,0.1586918367346939,-9.512714285714285,1986.8979591836735,0.060063265306122444,120.87189795918367,48.755102040816325,0.649469387755102,The Rolling Stones,album rock,2,1,4
