artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,name,album_id,release_date
Spoon,Ga Ga Ga Ga Ga (2017 Remaster),Finer Feelings,24qL9ML9vQJUeYFbHpW0DM,0.652,0.846,0,-7.376,1,0.0521,5.77e-06,0.357,0.682,129.263,295933,4,0K1q0nXQ8is36PzOKAMbNe,36,64,daily_mix_1,3tSpLdSd2zhM0N0aYZd13E,2007-07-10
COIN,Green Blue + Indigo Violet,Sagittarius Superstar (feat. Faye Webster),5MKRJvmmJTzC0xdXIiVsAd,0.552,0.653,5,-8.632,1,0.0523,0.00124,0.247,0.647,119.672,173320,4,0ZxZlO7oWCSYMXhehpyMvE,55,72,daily_mix_1,0G2STVHSAHhYIB3LoB9K8N,2021-03-12
Wet Leg,Wet Dream,Wet Dream,6pjJUY0O4XgrYFGf9SwD7u,0.721,0.697,2,-5.891,1,0.0284,0.0106,0.212,0.898,130.051,140084,3,2TwOrUcYnAlIiKmVQkkoSZ,68,66,daily_mix_1,2EVCxBosAlVsC0d7DAJXCA,2021-09-28
LCD Soundsystem,Electric Lady Sessions,oh baby - electric lady sessions,3ipt678zwPkLgPpyTnSEeK,0.525,0.777,5,-10.018,1,0.0507,0.244,0.0624,0.258,169.991,370253,4,066X20Nz7iquqkkCW6Jxy6,41,64,daily_mix_1,6iVbNJBKV53qgNPKPpcBLt,2019-02-08
The Velveteins,Slow Wave,Midnight Surf,1cHWcR8wg93s6BkQMbWAMY,0.155,0.862,0,-5.317,1,0.0683,0.000614,0.263,0.219,77.239,271547,4,1jUEqf1F3oW4JGoMfYxCvN,45,39,daily_mix_1,2985aLUNSnQ1QoVuy9GDla,2017-05-12
Har Mar Superstar,Bye Bye 17,Late Night Morning Light,36Jk4Gov47YOevltFX97sD,0.648,0.74,7,-6.107,1,0.0366,0.0707,0.587,0.813,105.117,125962,4,5wjWLK4KMqmRbdUtTEV1BG,46,39,daily_mix_1,3lJgfGvlQIdJ9JdWAAape1,2013-04-23
Rubblebucket,Triangular Daisies EP,Came Out of a Lady,67zyq8IksPvk60j5MeeuUV,0.814,0.732,11,-6.615,1,0.0525,0.0379,0.0809,0.612,119.972,260192,3,6xriZDSK3wPXhOoZXr9fzF,43,46,daily_mix_1,72dUiZWttA9mgzShUkgeea,2010-10-19
Spoon,Lucifer On The Sofa,The Hardest Cut,4ZifmvedzdccUUuiGDAbTU,0.671,0.683,7,-5.271,1,0.0965,0.00107,0.0534,0.809,164.943,193369,4,0K1q0nXQ8is36PzOKAMbNe,57,64,daily_mix_1,1szMY4QqnQZgNuyLBC4jUQ,2022-02-11
Post Animal,Puppy Dog,Puppy Dog,6d73p4S5nsFPWaAyfOluEa,0.46,0.675,0,-8.178,0,0.0389,0.0348,0.105,0.374,144.907,280190,4,4iaDWP59Z3e62DW7YWDbIE,44,47,daily_mix_1,2ZgMVfPCoq7uGbwnRH71eP,2022-03-16
Yabadum,Careful Kid,Cosmos,5E6t3T6Mh8V9LmcMKYEx4E,0.603,0.789,10,-5.601,1,0.08,1.22e-05,0.0904,0.748,115.973,231653,4,61b7Q2JnuxCcc3REqayakO,42,39,daily_mix_1,4vHEgGjrVXeXmeUO0jVw8Z,2014-05-30
Parquet Courts,Sympathy for Life,Walking at a Downtown Pace,69Rdwj1IFqopDXVah0BdEJ,0.531,0.843,11,-5.148,0,0.0443,0.000446,0.3,0.809,110.002,286880,4,23NIwARd4vPbxt3wwNnJ6k,52,58,daily_mix_1,3pimNTNgv34WFrdooDB0TT,2021-10-22
Tokyo Police Club,Top 5,Top 5,6F2LjP4Del2MOK9trQR9Jj,0.626,0.702,4,-7.288,1,0.0286,1.79e-05,0.438,0.761,105.994,182940,4,3wyfo3svXNWnszGAEVey11,37,49,daily_mix_1,15iR3FhDS9r9aSqwk4XZy4,2021-10-19
MGMT,Congratulations,Congratulations,6kblAEj0T0312fv5QWsXzo,0.761,0.637,7,-8.169,1,0.0268,0.0082,0.102,0.656,125.115,235387,4,0SwO7SWeDHJijQ3XNS7xEE,61,79,daily_mix_1,3HA1Ru1gEAgaxTywkJmBOL,2010-04-09
Broken Social Scene,Let's Try The After (Vol. 1),1972,265nlNqx9HgtYSkX0uft7Z,0.503,0.482,9,-8.983,1,0.0259,0.124,0.0656,0.317,97.6,293707,4,7lOJ7WXyopaxri0dbOiZkd,43,57,daily_mix_1,58A4Wb2j3H3wAU2GL9Q43U,2019-02-15
Spoon,They Want My Soul,Inside Out,7qCZgvV98j6RjUULW1s1it,0.621,0.62,0,-4.721,1,0.0293,0.162,0.0771,0.515,176.016,301960,4,0K1q0nXQ8is36PzOKAMbNe,63,64,daily_mix_1,55TZx6GWm1hlEbRgkGRjma,2014-08-05
Born Ruffians,"Red, Yellow & Blue",Foxes Mate For Life,2R0y7UJEqS7ltOC2LZAGKj,0.621,0.568,7,-5.797,1,0.0449,0.0301,0.0641,0.557,110.175,270120,5,7wGrLSB3v7jkV3fSsjYwtv,45,49,daily_mix_1,5R8hBq1KDYyLo02GJcSAKs,2008
Halloweens,Morning Kiss at the Acropolis,My Baby Looks Good with Another,01Q1SatAIX2xZH9UfgvoWO,0.651,0.838,11,-6.354,0,0.0404,1.48e-06,0.58,0.924,129.243,255119,4,4l7GRt2JOR419eiFMA4uzu,43,32,daily_mix_1,1Pg4VT0123tqgGblH3vGoQ,2020-03-20
Peach Pit,From 2 to 3,Vickie,2Q18HgXzNB1jB85EuXFgNn,0.697,0.464,0,-6.019,1,0.0259,4.51e-06,0.139,0.667,89.293,223944,4,6fC2AcsQtd9h4BWELbbire,60,71,daily_mix_1,291A3Ud0sbMSfmG48k6GQY,2022-03-04
Portugal. The Man,The Satanic Satanist,Mornings,3ia0GolmeFhy2DTel6EV8T,0.443,0.533,11,-5.605,0,0.0258,2.36e-05,0.168,0.157,149.682,279080,3,4kI8Ie27vjvonwaB2ePh8T,46,70,daily_mix_1,72uoxpSaDs7keunx3LbvrX,2009-07-21
Ethan P. Flynn,Television Show (Live),Television Show - Live,4WGj0mxVYdLBCpZ40t0TX9,0.27,0.67,8,-5.8,1,0.0401,0.000136,0.157,0.232,100.804,321855,4,1c0MTVrGbnets3DTXAEa0z,35,33,daily_mix_1,2KqYiYHWIaS9urEzTPz3WE,2021-06-24
Don't Stop or We'll Die,Dazzle Me,Lily Pad on Your Doorstep,3V8usEmpo2Adc6jSYNkdY5,0.748,0.309,1,-9.253,0,0.0637,0.000842,0.615,0.247,172.218,183360,4,3gc8ddHIjroKBbooNKDcP6,39,34,daily_mix_1,0q4IFJgvSf56rG0Y3C69Ey,2018-11-27
Dan Croll,On Top,On Top,1pcSKI4na3DjV2aWwzJXHK,0.677,0.455,9,-8.856,1,0.0888,0.0583,0.111,0.523,154.214,208391,4,5Rr15NSbi1Xjno1AEP9u21,44,49,daily_mix_1,3gtzZWM932RmkSVwTfZQGP,2021-05-11
The Strokes,The New Abnormal,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,0.593,0.749,5,-5.67,1,0.0475,0.106,0.314,0.649,164.959,309053,4,0epOFNiUfyON9EYx7Tpr6V,81,80,daily_mix_1,2xkZV2Hl1Omi8rk2D7t5lN,2020-04-10
The Walkmen,Everyone Who Pretended To Like Me Is Gone,We've Been Had,1K5wIDgNBgT7lVOMibiRAE,0.434,0.581,4,-7.449,1,0.0313,0.0002,0.338,0.447,100.219,204347,4,6kFay2DQ5aZfeu5OsrF3Pw,45,50,daily_mix_1,40nISQwjb2EbI7CyTNmTea,2002-03-26
Peach Pit,From 2 to 3,Look Out!,72BIYdOmoytW14M7BQYyZu,0.462,0.394,10,-8.402,1,0.0271,5.5e-06,0.134,0.286,100.692,176506,4,6fC2AcsQtd9h4BWELbbire,59,71,daily_mix_1,291A3Ud0sbMSfmG48k6GQY,2022-03-04
Cage The Elephant,Melophobia,Telescope,0tkBOcK7oRVXQJY97zzSvr,0.589,0.481,0,-4.801,1,0.0285,1.33e-05,0.0986,0.176,93.568,228293,4,26T3LtbuGT1Fu9m0eRq5X3,68,79,daily_mix_1,4EK8gtQfdVsmDTji7gBFlz,2013-10-08
Jealous of the Birds,Peninsula,Something Holy,2YAp3Kb8Xb6iVMk8Zp8jAH,0.678,0.691,2,-5.187,1,0.0281,0.0,0.334,0.843,120.066,198160,4,3S8P24WjZtVNaPLeXjaCJm,39,44,daily_mix_1,1zVph8HU5qFkq8bmur2fa2,2020-09-18
Portugal. The Man,"What, Me Worry?","What, Me Worry?",0ePX6rVjeql7Bt1KurTbAG,0.722,0.889,3,-2.564,0,0.0416,4.77e-06,0.124,0.743,139.965,177397,4,4kI8Ie27vjvonwaB2ePh8T,69,70,daily_mix_1,6S5j1iJ4B4jknYDr4xOXcA,2022-02-09
Public Access T.V.,Public Access,All We Want,1sv1NjtrXX3N4VXBAsljeZ,0.617,0.83,2,-4.382,1,0.0427,0.000426,0.19,0.629,101.986,234840,4,2GfytjuWiJoRLsYZlF6saQ,31,24,daily_mix_1,43nbtiKtddeGkhPq0ZivK6,2015-03-12
The Flaming Lips,Yoshimi Battles the Pink Robots,Do You Realize??,2DFRFqWNahKtFD112H2iEZ,0.464,0.797,0,-5.244,1,0.0333,0.000304,0.392,0.547,129.964,213173,4,16eRpMNXSQ15wuJoeqguaB,64,60,daily_mix_1,49LA20VMk65fQyEaIzYdvf,2002-05-13
alt-J,The Dream,U&ME,3i4ColsuZEvjeLz63m0jPt,0.587,0.722,7,-8.332,1,0.0574,0.00322,0.133,0.294,81.973,198840,4,3XHO7cRUPCLOr6jwp8vsx5,62,76,daily_mix_2,5ogYKSRRlVAgMzv09HFeIn,2022-02-11
Claud,Super Monster,Soft Spot,30bqNfOgcJOw2EWJJl1w5J,0.56,0.544,10,-8.25,1,0.0284,5.02e-05,0.224,0.472,82.028,188098,4,5MaQlvNGOaTj39apHsXVq1,60,58,daily_mix_2,0QPFWBu8oVVNtekmNzlVvW,2021-02-12
Belle and Sebastian,Books,Your Cover's Blown,5Ko8Fc69xLlzwgNxAs7cUU,0.484,0.743,11,-6.005,0,0.0668,1.37e-06,0.344,0.397,109.113,361787,4,4I2BJf80C0skQpp1sQmA0h,47,62,daily_mix_2,68BukGIvlqRYiUiozZsdgo,2004
Culture Abuse,So Busted,So Busted,19RV3EkvLt39bWSZwsiGjy,0.522,0.978,4,-1.467,1,0.0631,0.0536,0.194,0.528,134.825,123021,4,2GU1bGD3rTvxPNyBie1lqV,50,40,daily_mix_2,4Kend2fn9tDm3SSD3JpQL8,2017-06-26
fanclubwallet,Car Crash in G Major,Car Crash in G Major,24EtJ2vTx6CtaP32S6Arn2,0.709,0.517,7,-8.077,1,0.0335,0.118,0.484,0.429,105.369,132000,4,1NJUWqbiNAk1BPOyQhb2qe,59,46,daily_mix_2,1aPZj3S4ORUVOaaFmUgCU6,2020-09-25
Quinton Brock,Touch,Touch,5KhKoWqh6lldeVNqSmSsVi,0.473,0.898,6,-4.332,1,0.0633,0.0043,0.241,0.552,66.036,166445,4,1abW5Py6b6FSSpirm5Fkqq,35,22,daily_mix_2,7bbmdH4ukLBbbH3aJdsh6p,2021-11-18
Ray Bull,Love Is Hate,Love Is Hate,5V0MkBLevt9CmtlvqVvEjM,0.788,0.407,4,-9.776,1,0.0519,2.68e-05,0.182,0.703,120.017,230059,4,3P4jnIuA9z5WsvkbsoqkTu,30,30,daily_mix_2,75cgVsMpNDMia9OsAnqbYd,2021-08-13
Andrew Bird,Are You Serious (Deluxe Edition),Pulaski,1tGRfoeKD06YvZr6l3uwEk,0.453,0.717,7,-7.724,1,0.0753,0.00243,0.12,0.393,111.023,242147,4,4uSftVc3FPWe6RJuMZNEe9,50,61,daily_mix_2,7H09ubibX0BjNPBDLnB6s3,2016-01-01
