artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,release_date,artist_genre,name
Talking Heads,Remain in Light (Deluxe Version),Once in a Lifetime - 2005 Remaster,38Ngied9rBORlAbLYNCl4k,0.644,0.919,2,-6.289,1,0.0561,0.134,0.622,0.871,117.459,259907,4,2x9SpqnPi8rlE9pjHBwmSC,69.0,67.0,1980-10-08,art punk,4/29/20
Talking Heads,Little Creatures,Road to Nowhere,5gS8whHdcpbkdz0qonQZF8,0.661,0.713,2,-7.825,1,0.0296,2.27e-05,0.153,0.632,110.364,259107,4,2x9SpqnPi8rlE9pjHBwmSC,56.0,67.0,1985-07-10,art punk,4/29/20
The Rolling Stones,Beggars Banquet,Sympathy For The Devil,1iDcKYNvo6gglrOG6lvnHL,0.668,0.672,9,-10.79,1,0.3,1.09e-06,0.0403,0.613,115.767,377747,4,22bE4uQ6baNwSHPVcDxLCe,0.0,77.0,1968-12-06,british invasion,4/29/20
The Rolling Stones,Emotional Rescue (2009 Re-Mastered),She's So Cold - Remastered,6l9gVPHFaUfigHEiWqSh45,0.756,0.843,0,-5.315,1,0.0476,0.0104,0.0654,0.841,139.51,253507,4,22bE4uQ6baNwSHPVcDxLCe,57.0,77.0,1980-06-20,british invasion,4/29/20
The Rolling Stones,Aftermath (UK Version),Out Of Time,5RFYhFsx88Ged9UNmv5ORj,0.653,0.618,7,-10.852,1,0.0744,0,0.134,0.705,126.73,336893,4,22bE4uQ6baNwSHPVcDxLCe,50.0,77.0,1966-04-15,british invasion,4/29/20
The Zombies,The Zombies,She's Not There,1fibb2CBsQPBrSePsMcmPe,0.517,0.535,4,-8.331,0,0.0441,0,0.0743,0.777,132.08,145307,4,2jgPkn6LuUazBoBk6vvjh5,0.0,58.0,1966-01-01,baroque pop,4/29/20
Vampire Weekend,Father of the Bride,This Life,4dRqYKhLVujxiBXcq50YzG,0.62,0.712,9,-6.434,1,0.1,3.39e-06,0.0561,0.83,170.234,268600,4,5BvJzeQpmsdsFp4HGUYUEx,64.0,65.0,2019-05-03,baroque pop,4/29/20
Kenny Rogers,The Gambler,The Gambler,5KqldkCunQ2rWxruMEtGh0,0.671,0.501,4,-13.119,1,0.0594,0,0.194,0.86,87.04,214880,4,4tw2Lmn9tTPUv7Gy7mVPI4,75.0,66.0,1978-11-20,adult standards,4/12/20
America,Homecoming,Ventura Highway,4IU1RL4BKvFyXtbTwaHAvW,0.673,0.581,2,-10.205,1,0.029,0.000206,0.063,0.818,130.771,211387,4,35U9lQaRWSQISxQAB94Meo,69.0,64.0,1972-01-01,album rock,4/12/20
America,Hearts,Sister Golden Hair,5VSAonaAPhhGn0G7hMYwWK,0.441,0.547,4,-12.222,1,0.0337,0.000143,0.109,0.716,134.753,199573,4,35U9lQaRWSQISxQAB94Meo,69.0,64.0,1975,album rock,4/12/20
John Denver,Back Home Again,Annie's Song,5qxFudz7A6PGptviHsz4Yd,0.325,0.308,2,-11.503,1,0.0297,0.00603,0.441,0.447,147.117,178267,3,7EK1bQADBoqbYXnT4Cqv9w,0.0,66.0,1974,classic country pop,4/12/20
The Bellamy Brothers,Bellamy Brothers,Let Your Love Flow,064SVQsmWl5EF0zahmzkQk,0.679,0.553,3,-14.687,1,0.0316,7.16e-06,0.139,0.946,109.071,198760,4,5iB5AWIa7qreioi0AF3Bxa,70.0,56.0,1976-07-01,country,4/12/20
The Byrds,Turn! Turn! Turn!,Turn! Turn! Turn! (To Everything There Is a Season),5qBqBdfTEIWJwAS0Jm2F5R,0.451,0.818,2,-8.124,1,0.0439,2.92e-05,0.052,0.755,124.532,229360,4,1PCZpxHJz7WAMF8EEq8bfc,66.0,57.0,1965-12-06,art rock,4/12/20
Fleetwood Mac,Rumours,The Chain,2X6gdRlGOQgfaXU9ALUQFQ,0.546,0.529,9,-13.6,1,0.0436,0.000567,0.0383,0.574,151.727,271000,4,08GQAI4eElDnROBrJRGE0X,0.0,78.0,1977-02-04,album rock,4/12/20
The Shins,When I Goose-Step,New Slang (When You Notice The Stripes),2V2cZiuHj1Za9DF3GAfgBu,0.614,0.388,11,-12.069,1,0.0393,0.000145,0.0879,0.584,130.367,229907,4,4LG4Bs1Gadht7TCrMytQUO,0.0,60.0,2019-12-12,albuquerque indie,4/12/20
The Flaming Lips,Yoshimi Battles the Pink Robots,"Yoshimi Battles the Pink Robots, Pt. 1",0ccCwNzXvr1Yoz91vKz31Z,0.555,0.902,0,-7.918,1,0.0958,0,0.152,0.62,156.108,287507,4,16eRpMNXSQ15wuJoeqguaB,60.0,54.0,2002-05-13,alternative rock,4/12/20
Cypress Hill,Black Sunday,Insane in the Brain,1oTHteQbmJw15rPxPVXUTv,0.897,0.611,11,-10.489,1,0.211,0.186,0.0894,0.769,102.304,208267,4,4P0dddbxPil35MNN9G2MEX,75.0,66.0,1993-07-20,chicano rap,4/12/20
Leon Bridges,Inside Friend (feat. John Mayer),Inside Friend (feat. John Mayer),4ehkZtzPTbjsRULRfQSWYu,0.693,0.259,1,-7.918,1,0.0372,0.000135,0.0995,0.361,88.972,175432,4,3qnGvpP8Yth1AqSBMqON5x,59.0,70.0,2020-04-10,modern blues,4/12/20
Eagles,Eagles (2013 Remaster),Peaceful Easy Feeling - 2013 Remaster,40h65HAR8COEoqkMwUUQHu,0.568,0.634,4,-12.336,1,0.0282,0.00281,0.252,0.866,142.686,257963,4,0ECwFtbIWEVNwjlrfc6xoL,69.0,74.0,1972,album rock,4/12/20
Orleans,The Essentials: Orleans,Dance with Me,3D0fUBloGwPcLGLyheGWXu,0.565,0.392,2,-10.083,1,0.0268,0.000106,0.247,0.493,98.485,180480,4,1667U2YoucgG5Pdvm2M59c,60.0,52.0,2003-01-14,album rock,4/12/20
Fleetwood Mac,Fleetwood Mac,Landslide,5ihS6UUlyQAfmp48eSkxuQ,0.414,0.161,7,-22.32,0,0.0318,0.000223,0.117,0.423,159.375,199493,4,08GQAI4eElDnROBrJRGE0X,77.0,78.0,1975-07-11,album rock,4/12/20
Various Artists,Mellow Rock,It's Sad to Belong (Single Version),4W0uxXe6MMjQmvs2IEKYAc,0.517,0.309,3,-16.463,1,0.0356,2.36e-06,0.102,0.539,136.209,173547,4,0LyfQWJT6nXafLPZqxe9Of,21.0,0.0,2018-03-02,,4/12/20
Seals and Crofts,One on One,"My Fair Share (The Love Them from ""One on One"")",3UyeiyfRdZEGq0yLq1bhSr,0.532,0.342,3,-13.592,1,0.0279,0,0.0785,0.274,103.672,164133,4,6jdObwsrIjSRnBbMw6lPBj,52.0,55.0,1977,adult standards,4/12/20
The Doors,The Doors,Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,0.421,0.751,9,-9.584,1,0.0472,0,0.17,0.789,89.839,145867,4,22WZ7M8sxp5THdruNY3gXt,72.0,70.0,1967-01-04,acid rock,4/12/20
The Bellamy Brothers,Bellamy Brothers,Satin Sheets,4yHq1fsp9vhX1T34zoHnAu,0.694,0.831,7,-11.176,1,0.0291,8.7e-05,0.146,0.985,123.808,247053,4,5iB5AWIa7qreioi0AF3Bxa,36.0,56.0,1976-07-01,country,4/12/20
Fleetwood Mac,Rumours (Super Deluxe),Never Going Back Again - 2004 Remaster,19Shlms2uTnOjIUg50TXzd,0.654,0.336,6,-12.825,1,0.0379,0.385,0.0786,0.947,176.083,134400,4,08GQAI4eElDnROBrJRGE0X,69.0,78.0,1977-02-04,album rock,4/12/20
Generationals,Heza,Put a Light On,4ZFHITy0bAeZ3oFfvR0HaI,0.688,0.771,1,-4.463,1,0.0291,0.000106,0.0561,0.481,100.01,226933,4,57MtJQ6Sc4tIxrXIhrqVJL,60.0,48.0,2013,alternative dance,4/12/20
