artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,release_date,artist_genre,name
Rostam,Half-Light,Bike Dream,1acb8u70kClk6NjITaZyuG,0.507,0.972,8,-2.723,1,0.087,1.65e-05,0.14,0.797,120.076,201760,4,04XggbrM51GcFPTxBYtRXT,46.0,49.0,2017-09-15,art pop,6/1/2022
Japanese Breakfast,Jubilee,Be Sweet,0dpyzcT3RMNNSd2xKBf35I,0.653,0.877,2,-5.82,0,0.0275,1.04e-05,0.32,0.62,109.985,195371,4,7MoIc5s9KXolCBH1fy9kkw,68.0,60.0,2021-06-04,art pop,6/1/2022
Japanese Breakfast,Jubilee,Paprika,3zyqphgXvgHe436IMKeey3,0.506,0.712,4,-5.495,1,0.0334,0,0.304,0.416,120.07,220316,4,7MoIc5s9KXolCBH1fy9kkw,61.0,60.0,2021-06-04,art pop,6/1/2022
Phoenix,Alpha Zulu,Alpha Zulu,1QgegXUzfvRJxNRHM9sP3F,0.723,0.7,1,-6.571,0,0.043,0.108,0.0809,0.936,126.041,170387,4,1xU878Z1QtBldR7ru9owdU,65.0,62.0,2022-06-01,alternative dance,6/1/2022
Kevin Morby,This Is A Photograph,This Is A Photograph,6R3eECv1wptTUHATHSogu7,0.721,0.914,4,-4.954,0,0.0469,0.00132,0.119,0.784,123.997,210333,4,6fxk3UXHTFYET8qCT9WlBF,37.0,54.0,2022-03-03,indie rock,6/1/2022
Petey,Lean Into Life,California,2JquuHosB2mPp8wuUSc6Yl,0.662,0.838,2,-7.367,1,0.0287,0.884,0.104,0.387,126.997,276387,4,4TeKBLCqmYXzvcgYX4t4YA,47.0,43.0,2021-09-03,,6/1/2022
Angel Du$t,Bigger House,Never Ending Game - Panda Bear Remix,5yKfyF3ZZjbCjc9tUMrLg5,0.577,0.767,5,-4.398,1,0.0253,6.6e-05,0.225,0.515,77.985,203108,4,2ynylCO9SRPTKjgNEH0Y2a,44.0,42.0,2021-06-11,dreamo,6/1/2022
Los Bitchos,Let the Festivities Begin!,Pista (Fresh Start),34DOledEvD7igMMVEWbaEO,0.596,0.763,5,-7.464,1,0.0294,0.207,0.949,0.864,91.407,202133,4,07b9qW7pabKGO29JPWXn9m,44.0,38.0,2022-02-04,,6/1/2022
Los Bitchos,Let the Festivities Begin!,Tropico,0SFM8ra7hPCHoSYL2V0YgF,0.583,0.848,4,-8.365,0,0.0623,0.461,0.168,0.831,165.916,216920,4,07b9qW7pabKGO29JPWXn9m,36.0,38.0,2022-02-04,,6/1/2022
Young Guv,Cold In The Summer,Cold In The Summer,3O84rSAe1cb1fKUivqDfrH,0.713,0.745,9,-6.004,1,0.0331,0.163,0.12,0.866,104.985,213594,4,1zEgVwAUxnTP5DDnmZbJnw,42.0,32.0,2020-08-18,garage psych,6/1/2022
Heartless Bastards,A Beautiful Life,How Low,0WLJjIjP8YBCyLZIClsmKW,0.546,0.838,4,-5.365,1,0.0356,1.08e-06,0.0948,0.642,155.959,244160,4,2wwMTLM2da1sa2JcJslf8W,43.0,43.0,2021-09-10,modern blues rock,6/1/2022
Something Simple,Something Simple,Treehouse,2dWRfYtkPPABgiS5ef9g6a,0.653,0.77,7,-9.977,1,0.0383,0.0562,0.378,0.765,137.003,232813,4,5bfskvjJTxHQOqvoluRfmh,10.0,5.0,2020-01-24,,6/1/2022
Something Simple,Something Old,Minute to Live,3Ly0xwzDiYU7p1jN05wr8r,0.674,0.828,11,-5.319,1,0.0352,0.409,0.0925,0.778,111.974,213060,4,5bfskvjJTxHQOqvoluRfmh,6.0,5.0,2021-09-21,,6/1/2022
Something Simple,Something Old,On the Run,4TSKYTH3axfpxIJg7Ma2sB,0.43,0.878,2,-4.343,1,0.0305,0.56,0.268,0.749,88.972,188399,4,5bfskvjJTxHQOqvoluRfmh,11.0,5.0,2021-09-21,,6/1/2022
The Voidz,Did My Best,Did My Best,0hmxVkpxbcdHAXUoZ7DeCQ,0.533,0.794,1,-4.687,0,0.0371,0.888,0.106,0.623,120.207,296939,4,4nUBBtLtzqZGpdiynTJbYJ,52.0,51.0,2019-12-13,modern alternative rock,6/1/2022
Fleet Foxes,Helplessness Blues,Helplessness Blues,02VdHwnGhy5fTW2CTZkYsb,0.329,0.452,8,-7.737,1,0.0334,5.43e-06,0.118,0.193,125.217,303387,3,4EVpmkEwrLYEg6jIsiPMIb,53.0,65.0,2011-05-03,chamber pop,5/1/2022
Car Seat Headrest,Teens Of Denial,Drunk Drivers/Killer Whales,75hwtYcghca6YKW4i6C6fP,0.537,0.414,2,-7.952,1,0.0404,2.1e-06,0.103,0.459,117.101,374653,4,5PbpKlxQE0Ktl5lcNABoFf,61.0,60.0,2016-05-20,alternative rock,5/1/2022
The Strokes,Is This It,Is This It,0jBE7Fn78EAvmIs3dCd6GO,0.667,0.692,5,-8.361,1,0.0285,3.75e-05,0.349,0.846,96.022,151333,4,0epOFNiUfyON9EYx7Tpr6V,57.0,74.0,2001-07-30,alternative rock,5/1/2022
Sleeping in the Aviary,"You and Me, Ghost","Karen, You're An Angel",1qJF1iDAAcpKcxdys4pdlN,0.565,0.725,9,-5.712,1,0.0347,0,0.341,0.564,90.118,215907,4,0vHwBHcc8FGUHiO5N0DpBc,43.0,25.0,2011-09-06,,5/1/2022
Arcade Fire,Unconditional I (Lookout Kid),Unconditional I (Lookout Kid),0Zd9Nub5lwmzSBoWaVOWrP,0.486,0.68,11,-8.911,1,0.0313,0.000132,0.171,0.532,97.502,273693,4,3kjuyTCjPG1WMFCiyc5IuB,57.0,68.0,2022-04-27,baroque pop,5/1/2022
flipturn,Heavy Colors,Chicago,2BIfG6wL1t5wk1KixoK2BV,0.709,0.655,4,-9.638,1,0.0342,0.00283,0.0931,0.609,111.97,319821,4,7FKTg75ADVMZgY3P9ZMRtH,56.0,53.0,2017-03-31,indie pop,5/1/2022
Caetano Veloso,Caetano Veloso - 1969,Lost In The Paradise - Remastered 2006,3hH2LDHTypSGGfs550mV1j,0.365,0.584,9,-8.356,1,0.066,0,0.098,0.514,90.364,207667,4,7HGNYPmbDrMkylWqeFCOIQ,37.0,64.0,1969-01-01,bossa nova,5/1/2022
Girlyboi,Stevie Knicks,Stevie Knicks,3EuSjRC1jKGe6h3Nc9haWn,0.82,0.505,4,-7.481,0,0.0667,2.6e-05,0.222,0.63,117.94,176639,4,11BHl1AIynihfkkqpVt4BR,37.0,26.0,2017-09-14,,5/1/2022
French Cassettes,Rolodex,Dixie Lane,1Gjm1q3F5tYtlPMRnAGkZJ,0.626,0.522,6,-9.595,0,0.036,0.00111,0.267,0.829,90.796,217907,4,0VcpOwnjkQaqDeEiVa9cu5,31.0,40.0,2020-12-11,,5/1/2022
Fruit Bats,The Pet Parade,The Balcony,27GaPhdSkbvrfPTKZk2C6V,0.654,0.844,3,-7.63,1,0.0273,0.35,0.121,0.783,130.03,248925,4,6Qm9stX6XO1a4c7BXQDDgc,49.0,54.0,2021-03-05,chamber pop,5/1/2022
Only Real,Jerk At The End Of The Line,Jerk,4GOJsefp1rBFixTSxa6nf6,0.654,0.835,11,-3.75,1,0.0403,6.23e-06,0.0865,0.846,97.522,227992,4,5cyHu7tidauRJ9UawaPwG5,35.0,26.0,2015-03-15,,5/1/2022
The dB's,Like This,A Spy in the House of Love,2L3nmEqQ8wm6KmYHeEHCy5,0.607,0.651,11,-13.189,1,0.0368,0.0802,0.0453,0.768,119.994,293867,4,1CYmYyxlWBVY80Kvq5lTDg,39.0,27.0,1984,jangle pop,5/1/2022
Mt. Joy,Evergreen,Evergreen,2dHT2samnOh9mGhCBlicpf,0.403,0.882,7,-7.265,1,0.119,0.00101,0.298,0.503,161.09,171240,4,69tiO1fG8VWduDl3ji2qhI,57.0,64.0,2022-05-13,indie folk,5/1/2022
TV Girl,French Exit,Lovers Rock,1H7zdcRD0gLGQY0w5ejGgX,0.559,0.871,5,-5.338,0,0.0392,0.00524,0.096,0.573,104.976,213920,4,0Y6dVaC9DZtPNH4591M42W,80.0,70.0,2014-06-05,indie pop,5/1/2022
TTRRUUCES,TTRRUUCES,Bad Kids,0gjcEL2CTKu3fT9qMVVu2w,0.609,0.648,10,-6.282,0,0.0449,6.02e-05,0.785,0.653,88.036,206627,4,4fFSyYQa0jRwFSunVahGw8,52.0,38.0,2020-06-26,,5/1/2022
The Voidz,Virtue,Leave It In My Dreams,31u6rUeIEXGrYVoh10U7eu,0.6,0.746,4,-4.696,0,0.0355,0.0119,0.109,0.614,118.551,239442,4,4nUBBtLtzqZGpdiynTJbYJ,58.0,51.0,2018-03-30,modern alternative rock,5/1/2022
Fell Runner,Talking,Dog Inside a Car,2CAhV5ZuA7v309SspF5K5S,0.478,0.696,11,-6.144,1,0.0634,0,0.0748,0.63,130.224,256000,4,0teb8J1T7OwcAQlBxRnPVd,46.0,27.0,2019-06-21,,5/1/2022
One Way Out,"The Sun, The Moon, The Truth",Red,32MUniPGz5zDS9WpRQsk6x,0.478,0.916,10,-4.287,0,0.0508,0.000742,0.159,0.621,155.931,214364,4,7tRb2lz0CiId2xQY5qNXkQ,2.0,6.0,2021-08-20,,5/1/2022
Subsonic Eye,Strawberry Feels,Cosmic Realignment,2JPZFolVoxO4XU3SJH89tZ,0.549,0.707,6,-8.364,1,0.0275,0.0631,0.141,0.322,150.034,223805,4,6nRhwtv2bwuDvPijPCjcie,38.0,27.0,2017-04-21,5th wave emo,5/1/2022
Arlie,Wait,didya think,4HOg84QsolNLzNp08qZ3sX,0.468,0.89,4,-2.974,1,0.0701,1.21e-05,0.508,0.709,140.265,200467,4,6Bllzm0olEwqGwPujaLiuA,63.0,52.0,2018-09-19,indie pop,5/1/2022
Jordana,Summer's Over,Summer's Over,20pi3c6HXmaEeElCswISpD,0.752,0.793,11,-8.358,0,0.109,0.00565,0.268,0.938,80.702,173000,4,5Bw9kFNhy019e4IBCJZlzw,58.0,49.0,2021-10-13,indie pop,5/1/2022
poptropicaslutz!,Hollywood High 16,Hollywood High 16,3FjjoOFHM9kB2apdSiPa9o,0.465,0.836,1,-6.779,1,0.0793,0,0.115,0.597,170.048,185647,4,08DN8ZbOSeuTELiQjc4Jl8,49.0,45.0,2020-12-16,glitchcore,5/1/2022
The Wrecks,We Are The Wrecks,Favorite Liar,1scwknKtBQpreYy6MSoJqJ,0.64,0.722,9,-3.489,1,0.0351,1.27e-05,0.128,0.317,119.916,242307,4,458aS6ALc3QkzwfR5USt34,62.0,58.0,2017-02-10,la indie,5/1/2022
The Crystal Casino Band,Until the Sun Comes up,Until the Sun Comes up,6tLzvLC1MCDhdjWj3MIoMj,0.473,0.782,10,-6.306,1,0.0371,0.000522,0.354,0.894,132.047,158636,4,1ZOITEwKW2JCm6HDS96hwF,32.0,41.0,2022-03-25,,4/1/2022
Spoon,Gimme Fiction,"The Beast and Dragon, Adored",7MpyXqK8DAT3xOi6yBoyKF,0.724,0.514,5,-7.286,1,0.0328,0.000222,0.382,0.48,127.054,258360,4,0K1q0nXQ8is36PzOKAMbNe,25.0,58.0,2005-05-09,alternative rock,4/1/2022
Glass Animals,I Don't Wanna Talk (I Just Wanna Dance),I Don't Wanna Talk (I Just Wanna Dance),3oqztHfES8jYMyrxPMzWwc,0.703,0.624,7,-6.228,1,0.0364,5.53e-05,0.299,0.808,131.966,195191,4,4yvcSjfu4PC0CYQyLy4wSq,60.0,80.0,2021-09-10,gauze pop,4/1/2022
The Growlers,City Club,I'll Be Around,0JxNCIvcLphN1oAafpvDWW,0.475,0.899,1,-3.347,0,0.056,1.1e-06,0.19,0.911,92.101,287086,4,2RhgnQNC74QoBlaUvT4MEe,0.0,59.0,2016-09-30,garage rock revival,4/1/2022
Toro y Moi,Déjà Vu,Déjà Vu,29Hg1jaX5ZY5miqr3ScQSn,0.642,0.507,2,-7.301,1,0.0299,0.00168,0.586,0.583,113.131,162123,4,6O4EGCCb6DoIiR6B1QCQgp,44.0,62.0,2022-03-31,alternative dance,4/1/2022
Dehd,Stars,Stars,5jZBhZi5ZrE3EDOdEJdHrn,0.45,0.633,9,-6.811,1,0.0326,0.0143,0.0838,0.221,158.083,163671,4,6yzuBFtT6dK2aQMZJZtcB1,37.0,51.0,2022-03-23,art pop,4/1/2022
Laundry,Affirmation,Lonely Mess,3olsCCPxBZp7hjd0pk67DP,0.744,0.516,9,-7.445,1,0.044,0.0282,0.0888,0.621,128.025,258413,4,3HHCCHQ65pYuZu9MiiNZY0,45.0,27.0,2019-04-20,eugene indie,4/1/2022
The Growlers,Gay Thoughts - EP,Gay Thoughts,2HtRQoycUasDCpCsteWiwr,0.346,0.728,9,-7.747,0,0.0326,0.00485,0.154,0.966,204.732,280347,4,2RhgnQNC74QoBlaUvT4MEe,45.0,59.0,2015-12-08,garage rock revival,4/1/2022
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",A Certain Romance,2CbtdkBeW9Znt4vXTOafAl,0.455,0.881,11,-5.587,1,0.0401,6.06e-05,0.11,0.201,137.949,331200,4,7Ln80lUS6He07XvHI8qqHH,54.0,82.0,2006-02-21,garage rock,4/1/2022
Tonstartssbandht,An When,Little April Showers,1iX7yaI8zqnw4yG4Lof2Et,0.529,0.581,6,-9.847,1,0.0941,0.552,0.247,0.466,169.929,196624,4,0ZoYAbDGICaSPSfTTvworW,35.0,34.0,2009-06-10,experimental indie,4/1/2022
Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4,6KImCVD70vtIoJWnq6nGn3,100.0,93.0,2022-03-31,pop,4/1/2022
The Vaccines,Disaster Girl,Disaster Girl,0AgZmVy57KygTp6eYHHBkk,0.608,0.906,2,-3.937,1,0.0736,0,0.185,0.562,97.42,150047,4,0Ak6DLKHtpR6TEEnmcorKA,48.0,58.0,2022-03-23,indie rock,4/1/2022
fanclubwallet,Car Crash in G Major,Car Crash in G Major,3zt5zKBpsliBi0aDldNBsX,0.709,0.517,7,-8.077,1,0.0335,0.118,0.484,0.429,105.369,132000,4,1NJUWqbiNAk1BPOyQhb2qe,0.0,42.0,2020-09-25,indie pop,4/1/2022
okaywill,All My Love,All My Love,3AdiSOZxa72xdHN6sGvYeu,0.562,0.717,8,-6.523,1,0.0446,0.312,0.101,0.798,79.819,165000,4,79oW06N8yKp6hKp71ieN7L,39.0,35.0,2022-02-03,,4/1/2022
Men I Trust,Show Me How,Show Me How,01TyFEZu6mHbffsVfxgrFn,0.791,0.267,5,-11.997,1,0.0415,0.534,0.102,0.544,165.99,215111,4,3zmfs9cQwzJl575W1ZYXeT,76.0,64.0,2018-02-28,indie pop,4/1/2022
Cage The Elephant,Thank You Happy Birthday,Flow,0MUzalPwRItswsuNThydQg,0.745,0.619,4,-10.939,0,0.0331,0.0126,0.133,0.0906,107.025,208200,4,26T3LtbuGT1Fu9m0eRq5X3,52.0,73.0,2011-01-10,modern alternative rock,4/1/2022
Milky Chance,Synchronize,Synchronize,6Ql7rNuoP90aIdgwQkPYBP,0.728,0.82,11,-6.198,0,0.031,0.000216,0.176,0.652,124.001,164577,4,1hzfo8twXdOegF3xireCYs,75.0,71.0,2022-03-09,german pop,4/1/2022
Good Morning,Barnyard,Country,779jX3iuMo4B1wtwtbO4JE,0.579,0.862,9,-6.551,1,0.033,0.0738,0.194,0.605,155.802,240547,4,2kMzxA8edU05hvMFU493zJ,39.0,56.0,2021-10-22,experimental pop,4/1/2022
Neal Francis,In Plain Sight,Problems,4WBs7J0btTQLsER9ouXW2I,0.687,0.818,10,-6.831,0,0.0337,0.000508,0.12,0.964,111.04,238813,4,2e5y5Gs5lgnDmiY4TKLsq3,39.0,41.0,2021-11-05,funk,4/1/2022
STRFKR,Future Past Life,Dear Stranger,10cPYHOPt1VpgFGy7NO2JI,0.542,0.751,2,-8.319,1,0.0292,0.875,0.09,0.43,114.96,271903,4,2Tz1DTzVJ5Gyh8ZwVr6ekU,53.0,57.0,2020-04-10,chillwave,4/1/2022
Alvvays,Alvvays,Adult Diversion,2VvfTbJWcguP88dvnpH7hl,0.327,0.948,8,-4.355,1,0.0711,0.515,0.126,0.469,177.328,207640,4,3kzwYV3OCB010YfXMF0Avt,39.0,54.0,2014-01-01,dreamo,4/1/2022
Twin Peaks,Wild Onion,Sweet Thing,4hen3qSVNAgtmU0g6IHtVh,0.522,0.88,0,-5.381,1,0.0306,0.76,0.204,0.64,102.109,127902,4,1xD85sp0kecIVuMwUHShxs,36.0,47.0,2014-08-05,chicago indie,4/1/2022
Landlady,The World Is a Loud Place,Electric Abdomen,1VlcV2qw1h1v9V5Ye7OcHs,0.553,0.631,0,-4.744,1,0.0441,0.00535,0.392,0.367,93.99,304242,4,49BZ5IiDgPouHX3pg8O4nK,35.0,21.0,2017-01-20,,4/1/2022
Gardens & Villa,Gordon Von Zilla Presents,Disco Kitchen,00eHtpRr74BgWQN7u6vEHT,0.536,0.869,9,-6.027,0,0.0425,0.225,0.103,0.865,147.822,200089,4,5NgfalfOtMDHkJ0SbFAxyA,45.0,35.0,2020-08-14,chillwave,3/1/2022
The Bats,Daddy's Highway,Made Up In Blue,1kehzYn3v8Y16rR3UDGzbE,0.461,0.778,2,-10.95,0,0.0695,0.444,0.46,0.858,143.312,242427,4,2YvNi4oPdBgD45gc1UycxW,40.0,29.0,1987-01-01,c86,3/1/2022
Belle and Sebastian,Unnecessary Drama,Unnecessary Drama,6Qn9jSYaISHshe0aEZjQIz,0.457,0.891,10,-4.594,1,0.0689,0,0.384,0.608,143.97,256880,4,4I2BJf80C0skQpp1sQmA0h,40.0,58.0,2022-03-02,alternative rock,3/1/2022
Portugal. The Man,Evil Friends,Purple Yellow Red and Blue,4WMuY659P2MKnoW40oGXe8,0.601,0.859,4,-6.311,0,0.0397,0.331,0.144,0.431,101.003,249747,4,4kI8Ie27vjvonwaB2ePh8T,57.0,64.0,2013-05-31,indie rock,3/1/2022
Wallows,At the End of the Day,At the End of the Day,0BbvSCBpxz2yjPXINwFWOw,0.562,0.881,9,-5.168,1,0.0464,1.26e-05,0.141,0.575,117.29,233467,4,0NIPkIjTV8mB795yEIiPYL,53.0,71.0,2022-03-04,indie pop,3/1/2022
Spoon,Gimme Fiction (Deluxe Edition),I Turn My Camera On,10YGSqXSKL5g6VmXiuSdd2,0.943,0.466,10,-6.418,1,0.0367,1.29e-05,0.0909,0.782,100.172,212107,4,0K1q0nXQ8is36PzOKAMbNe,57.0,58.0,2005,alternative rock,3/1/2022
Spoon,Gimme Fiction (Deluxe Edition),"The Beast and Dragon, Adored - Home Demo",5I1NAu3XOItLC2XXWkVkgZ,0.851,0.368,9,-5.122,0,0.0992,0,0.0841,0.149,124.557,240387,4,0K1q0nXQ8is36PzOKAMbNe,16.0,58.0,2005,alternative rock,3/1/2022
TOLEDO,FOMO,FOMO,4bRjFZH5jCrPASyxqbF1yr,0.663,0.845,10,-5.449,1,0.119,3.76e-05,0.184,0.656,117.664,219381,4,2xK3hBpuuHSxmHr96TzgDO,35.0,44.0,2020-06-25,brooklyn indie,3/1/2022
Hippo Campus,Bad Dream Baby,Bad Dream Baby,4S7misxIYuUVypO0NwDwuW,0.654,0.717,4,-6.564,1,0.0416,0.00148,0.0596,0.961,159.963,178150,4,1btWGBz4Uu1HozTwb2Lm8A,61.0,62.0,2021-06-15,indie pop,3/1/2022
The Black Keys,Wild Child,Wild Child,0dgAZ1j5irH1FlA5WrpHW4,0.68,0.639,5,-6.233,0,0.0278,5.09e-06,0.0398,0.957,106.991,164867,4,7mnBLXK823vNxN3UWB7Gfz,67.0,70.0,2022-03-10,alternative rock,3/1/2022
fanclubwallet,Gr8 Timing!,Gr8 Timing!,0R5RnMzKGJLLwlS8FAnDp3,0.688,0.815,9,-5.882,0,0.0466,0.576,0.2,0.894,120.011,157000,4,1NJUWqbiNAk1BPOyQhb2qe,37.0,42.0,2022-03-01,indie pop,3/1/2022
fanclubwallet,Car Crash in G Major,Car Crash in G Major,24EtJ2vTx6CtaP32S6Arn2,0.709,0.517,7,-8.077,1,0.0335,0.118,0.484,0.429,105.369,132000,4,1NJUWqbiNAk1BPOyQhb2qe,57.0,42.0,2020-09-25,indie pop,3/1/2022
Nilüfer Yanya,Inside Out,Keep On Calling,35nfO92JtV6Nhv3CgHpS7P,0.761,0.551,6,-7.211,0,0.0332,0.000614,0.0844,0.101,123.077,230310,4,09kXLeOXRyfNQMXRaDO4qA,51.0,51.0,2021-09-29,art pop,3/1/2022
Lou Roy,Down Since '07,Down Since '07,1dmYjJ35vKDV72rptktSTu,0.55,0.382,9,-7.648,1,0.0321,0.0293,0.124,0.199,140.072,97929,4,4SXS92sCu5twnCUx4Dy44H,17.0,24.0,2022-03-02,,3/1/2022
Kid Bloom,Does It Feel Real,Does It Feel Real,44f9F8DdO8URqNBOVBaW7U,0.802,0.753,11,-4.167,0,0.0512,3.28e-05,0.0589,0.865,102.024,149667,4,5CXdWANGwYYRPClH6hhC0P,42.0,58.0,2022-02-15,indie pop,3/1/2022
SEB,"f**k it, i'm the man","f**k it, i'm the man",3Jq0vjC96tJlUVAdKfMajk,0.868,0.74,4,-4.181,1,0.0449,0.13,0.0951,0.979,112.022,150693,4,7oPxPZSk7y5q0fhzpmX5Gi,56.0,58.0,2022-02-18,,3/1/2022
Peter McPoland,Come Around,Come Around,3TpkcCHblOWMzalss4ug24,0.496,0.932,7,-2.632,1,0.275,0,0.109,0.416,155.066,173120,4,23E65IfLBGQv0FBrMwCcG2,42.0,56.0,2022-02-25,indie pop,3/1/2022
The Lumineers,where we are (acoustic),where we are (acoustic),6S5mz361HiZquQleGlI3aD,0.453,0.37,11,-8.671,1,0.0304,0,0.234,0.244,126.45,167893,4,16oZKvXb6WkQlVAjwo2Wbg,52.0,75.0,2022-03-16,folk-pop,3/1/2022
Grady,a place we can always go.,kissing girls,5lCtzEEl2FxySHX4zR9yEf,0.415,0.456,0,-7.315,1,0.106,0,0.49,0.72,181.452,100750,3,6FmiNnTXQJTmOMAx4kB38R,56.0,51.0,2020-05-29,indie electropop,3/1/2022
The Olivia Tremor Control,Dusk at Cubist Castle,Jumping Fences,36Us7iQfslxRe1sOqUDmyt,0.535,0.821,10,-8.95,1,0.0385,0.00897,0.307,0.688,128.13,112067,4,4a2nAPF15Gv8V65Ba3IJSB,46.0,34.0,2004-02-03,alternative rock,3/1/2022
Mini Mansions,The Great Pretenders,Creeps,1Li4Kez6rKh0fuslQd3yks,0.456,0.513,7,-8.122,1,0.0274,0.0771,0.251,0.572,111.946,211187,4,07xbJ7SM1JopFtI1qXvSww,42.0,41.0,2015-03-23,psychedelic pop,3/1/2022
Ethan Gruska,So Unimportant,So Unimportant,6UMqwvwPmgr2oql5Bse9E4,0.389,0.492,2,-11.468,1,0.0387,0.0419,0.0845,0.346,80.77,263320,3,1zkHConahaP6T8EBpg8BeE,55.0,43.0,2022-03-16,deep new americana,3/1/2022
The Smile,Skrting On The Surface,Skrting On The Surface,4XB9mPk0wcrWHRJSypO79z,0.565,0.572,2,-9.982,0,0.0293,0.745,0.139,0.263,142.305,331915,3,6styCzc1Ej4NxISL0LiigM,47.0,59.0,2022-03-17,indie rock,3/1/2022
Yot Club,u dont kno me,u dont kno me,1jbbnDJ54AGBRswmNm5PAw,0.624,0.886,4,-6.046,1,0.0351,0.941,0.0943,0.772,155.249,239195,4,6FugQjLquBF4JzATRN70bR,53.0,67.0,2022-03-18,bedroom pop,3/1/2022
Yumi Zouma,Astral Projection,Astral Projection,4Pg6eqgANtv5uZiUYkH9NX,0.682,0.545,0,-9.947,1,0.0433,0.619,0.0871,0.481,128.965,232907,4,4tPyCwWrsvZ8OKYl7QRavL,47.0,48.0,2022-03-16,chillwave,3/1/2022
Hovvdy,Everything,Everything,3tQXwwGZOYrz6xbl7e7yZg,0.556,0.81,2,-4.653,1,0.0301,0.384,0.206,0.596,91.007,197373,4,59RNNqeEfkq3X5pfOQxZ3C,43.0,46.0,2022-03-14,austindie,3/1/2022
Mt. Joy,Lemon Tree,Lemon Tree,0SnCZci0wyVj0RZXknNaWq,0.365,0.748,10,-9.145,1,0.0881,0.503,0.303,0.475,121.285,248560,4,69tiO1fG8VWduDl3ji2qhI,61.0,64.0,2022-03-18,indie folk,3/1/2022
Foals,2am,2am,04no0XXxXd3F5uLZi3qDYK,0.698,0.794,0,-3.333,1,0.0483,0.605,0.0622,0.861,135.981,224179,4,6FQqZYVfTNQ1pCqfkwVFEa,65.0,66.0,2022-02-10,indie rock,3/1/2022
Twenty One Pilots,Scaled And Icy,The Outside,0yzj6eBs5a6X6d3P5qaQ5J,0.785,0.623,11,-6.923,1,0.0403,0.125,0.0539,0.711,100.991,216759,4,3YQKmKGau1PzlVlkL1iodx,68.0,79.0,2021-05-21,modern rock,3/1/2022
Yam Haus,Ready To Go (From “American Song Contest”),Ready To Go (From “American Song Contest”),0vXhDDbPExjtcMdQpwk8PV,0.606,0.785,1,-6.429,1,0.0301,1.46e-06,0.0802,0.673,119.976,147867,4,0rSavBIQ6PthnW6brWugNL,39.0,37.0,2022-03-21,wisconsin indie,3/1/2022
Belle and Sebastian,If They’re Shooting At You,If They’re Shooting At You,1MpQ9COoG75VzxABaBrNwF,0.496,0.442,8,-7.958,1,0.0311,0.000303,0.108,0.574,184.013,271120,4,4I2BJf80C0skQpp1sQmA0h,40.0,58.0,2022-03-11,alternative rock,3/1/2022
Caamp,Believe,Believe,0QFGZqqB1KDpOtyL3vXMXo,0.516,0.635,3,-8.024,1,0.0347,0.00187,0.0674,0.704,150.067,195107,4,0wyMPXGfOuQzNR54ujR9Ix,63.0,67.0,2022-03-11,indie folk,3/1/2022
Drug Cabin,Wiggle Room,Handsome,4kJG95g177WS0WMq7yFqVX,0.75,0.44,4,-8.832,1,0.0305,0.341,0.0998,0.824,96.048,147893,4,127gPdUYBwpTLUNdKX1MMk,44.0,34.0,2015-04-07,baroque pop,2/1/2022
Star Parks,The New Sounds of Late Capitalism,Palm Sunday,6rN3MviTNZD3Fc1QABVGt9,0.357,0.564,5,-6.658,1,0.0298,0.852,0.216,0.264,125.127,323773,3,0yRum3Q7Dqnt8kl4MdO7TH,28.0,29.0,2020-02-14,chamber pop,2/1/2022
The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),Sea Ghost,5pTvG4ac1DfQh6Gw7cm9Fg,0.514,0.46,4,-9.236,1,0.289,0.000235,0.136,0.422,121.82,222733,4,7L5HH5QtkDe7u2hJ1FUKFo,39.0,37.0,2014-07-29,alternative rock,2/1/2022
Labi Siffre,"Crying, Laughing, Loving, Lying",Come on Michael,4eiQHWqJPu4iUFaVsUqzbm,0.456,0.274,2,-14.086,0,0.129,7.17e-06,0.116,0.135,88.076,177547,4,5CzlICF8GCY0pRC82MKrhX,34.0,49.0,1972,classic uk pop,2/1/2022
Christian Leave,10 Steps,10 Steps,4U2GQlVHIerwX78jHpkOYN,0.248,0.837,7,-6.534,1,0.0515,0.00214,0.338,0.66,122.878,209132,4,2G8UkPZnQ8i78L8TfqP1X6,56.0,59.0,2021-09-03,indie pop,2/1/2022
The Nerves,One Way Ticket,Many Roads to Follow (Demo),1LpSFi4bgbOohDRxrMoeNU,0.552,0.369,4,-10.582,1,0.0301,0.00624,0.106,0.601,127.188,134200,1,298i00ena8XMnm9O3qlHtU,42.0,38.0,2008-11-11,garage pop,2/1/2022
Jane's Party,Tunnel Visions,Daydream,4CX6arfk2lF4oetzoqvaRD,0.491,0.776,9,-3.563,1,0.0493,0.0014,0.115,0.537,167.031,180520,4,16SY7vICMlc8XGaTPocEa3,47.0,29.0,2016-05-12,canadian folk,2/1/2022
